pool,holdout,drop,metric,pronoun_endpoint,pronoun_max,next_pronoun,next_pronoun_delta,failures,targets
full,item,phon,idf_jaccard,it_dum,-0.0235286800464203,itself,-0.0655928407367599,[],"[{'lemma': 'each_other', 'delta': 0.0326733683833081}, {'lemma': 'one_another', 'delta': 0.044808197142363}]"
full,item,phon,jaccard,it_dum,-0.0497004546334117,itself,-0.1214724166467885,[],"[{'lemma': 'each_other', 'delta': 0.0322300913334905}, {'lemma': 'one_another', 'delta': 0.0387212001777128}]"
full,item,sem,dice,it_dum,-0.0590568233371687,itself,-0.1516167706700238,[],"[{'lemma': 'each_other', 'delta': 0.2198423775013826}, {'lemma': 'one_another', 'delta': 0.220334011298714}]"
full,item,sem,hamming,it_dum,0.0070974576271185,itself,-0.0295550847457627,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0778084952459694}, {'lemma': 'one_another', 'delta': 0.0820457833815626}]"
full,item,sem,idf_jaccard,it_dum,-0.0365088598133418,itself,-0.0894973813799834,[],"[{'lemma': 'each_other', 'delta': 0.1009254477276652}, {'lemma': 'one_another', 'delta': 0.1046450139058629}]"
full,item,sem,jaccard,it_dum,-0.0455568788865469,itself,-0.1504499463536595,[],"[{'lemma': 'each_other', 'delta': 0.1734350661593181}, {'lemma': 'one_another', 'delta': 0.1717785814251597}]"
full,item,synt,dice,it_dum,-0.0022460414874038,itself,-0.0984272500467169,[],"[{'lemma': 'each_other', 'delta': 0.0405532506274427}, {'lemma': 'one_another', 'delta': 0.0498193004170413}]"
full,item,synt,hamming,it_dum,0.0322115384615384,itself,-0.0110576923076923,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0356472795497185}, {'lemma': 'one_another', 'delta': 0.0404549718574109}]"
full,item,synt,idf_jaccard,it_dum,0.0062334060267332,itself,-0.040347924489919,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0284767681190722}, {'lemma': 'one_another', 'delta': 0.0445630060134403}]"
full,item,synt,jaccard,it_dum,-0.0033392854481364,itself,-0.0942470661195818,[],"[{'lemma': 'each_other', 'delta': 0.0363018819115236}, {'lemma': 'one_another', 'delta': 0.043916585566144}]"
nonlocative,family,morph,dice,it_dum,-0.0767147238579003,your_plur,-0.1232380478553555,[],"[{'lemma': 'each_other', 'delta': -0.0434876888794185}, {'lemma': 'one_another', 'delta': -0.0434876888794185}]"
nonlocative,family,morph,hamming,it_dum,-0.0164743395080473,they_sing,-0.0534916032378881,[],"[{'lemma': 'each_other', 'delta': -0.0126747053987393}, {'lemma': 'one_another', 'delta': -0.0126747053987393}]"
