diagnostic,weighting,altered_dummy_it,holdout,lemma,role,features,d_pronoun,d_compound,delta
all,equal_feature,False,item,yourselves,pronoun_anchor,154,0.5314733109040033,0.7772152900318432,-0.2457419791278399
all,equal_feature,False,family,anybody,compound_anchor,154,0.7815811418872559,0.5044136489488781,0.27716749293837784
all,equal_feature,False,family,anyone,compound_anchor,154,0.7815811418872559,0.5045728035197975,0.2770083383674584
all,equal_feature,False,family,anything,compound_anchor,154,0.7810744291535544,0.5019959163412309,0.27907851281232354
all,equal_feature,False,family,anywhere,compound_anchor,154,0.8547436166810497,0.5822675681391365,0.2724760485419132
all,equal_feature,False,family,everybody,compound_anchor,154,0.7336607708435667,0.5417937156464114,0.1918670551971553
all,equal_feature,False,family,everyone,compound_anchor,154,0.7336607708435667,0.5419137749769971,0.19174699586656963
all,equal_feature,False,family,everything,compound_anchor,154,0.7565489242797919,0.5118558588953325,0.24469306538445945
all,equal_feature,False,family,everywhere,compound_anchor,154,0.8135989693675667,0.5612197840441211,0.2523791853234456
all,equal_feature,False,family,nobody,compound_anchor,154,0.7705789558217473,0.4701415853617991,0.30043737045994817
all,equal_feature,False,family,no_one,compound_anchor,154,0.7754013003995375,0.485000816919791,0.29040048347974645
all,equal_feature,False,family,nothing,compound_anchor,154,0.8067725810655891,0.502760436583966,0.30401214448162317
all,equal_feature,False,family,nowhere,compound_anchor,154,0.8584330825097515,0.5672625519608279,0.2911705305489236
all,equal_feature,False,family,somebody,compound_anchor,154,0.7757050657521305,0.4864472205383708,0.2892578452137597
all,equal_feature,False,family,someone,compound_anchor,154,0.7757050657521305,0.48665443380001955,0.28905063195211095
all,equal_feature,False,family,something,compound_anchor,154,0.7901232554010195,0.5006557997572119,0.2894674556438076
all,equal_feature,False,family,somewhere,compound_anchor,154,0.8650968604783404,0.5849085146879266,0.28018834579041385
all,equal_feature,False,family,each_other,target,154,0.7088579692854635,0.6690820933080995,0.039775875977363984
all,equal_feature,False,family,one_another,target,154,0.7228114730155731,0.6772670296559097,0.045544443359663456
all,equal_feature,False,family,he,pronoun_anchor,154,0.5719610109312047,0.8092856407451141,-0.23732462981390945
all,equal_feature,False,family,him,pronoun_anchor,154,0.5378988684170526,0.8057506137155528,-0.2678517452985002
all,equal_feature,False,family,himself,pronoun_anchor,154,0.5614373071794814,0.7604470414613891,-0.1990097342819077
all,equal_feature,False,family,his,pronoun_anchor,154,0.48687288801602885,0.742109479495717,-0.2552365914796882
all,equal_feature,False,family,she,pronoun_anchor,154,0.54946873262238,0.813962682945353,-0.26449395032297296
all,equal_feature,False,family,her_acc,pronoun_anchor,154,0.5025491432190912,0.7834820942999945,-0.2809329510809033
all,equal_feature,False,family,her_dep,pronoun_anchor,154,0.5816883951085401,0.833527924107552,-0.25183952899901196
all,equal_feature,False,family,hers,pronoun_anchor,154,0.4823636859739174,0.7386792842136856,-0.2563155982397682
all,equal_feature,False,family,herself,pronoun_anchor,154,0.5393269489941797,0.7657781804126589,-0.22645123141847923
all,equal_feature,False,family,it_plain,pronoun_anchor,154,0.5998129598989206,0.8040189737051583,-0.2042060138062377
all,equal_feature,False,family,it_dum,pronoun_anchor,154,0.7722513816598977,0.8077558632194839,-0.03550448155958619
all,equal_feature,False,family,its,pronoun_anchor,154,0.6034452415516806,0.7895659837852846,-0.1861207422336041
all,equal_feature,False,family,itself,pronoun_anchor,154,0.6114668830868607,0.7395259141501342,-0.12805903106327354
all,equal_feature,False,family,I,pronoun_anchor,154,0.5567702028245098,0.8313743634948705,-0.27460416067036064
all,equal_feature,False,family,me,pronoun_anchor,154,0.5304536493886964,0.8254103533032191,-0.29495670391452267
all,equal_feature,False,family,mine,pronoun_anchor,154,0.4468875209589159,0.7386792842136856,-0.2917917632547697
all,equal_feature,False,family,my,pronoun_anchor,154,0.5846807544974987,0.8462358725204686,-0.26155511802296993
all,equal_feature,False,family,myself,pronoun_anchor,154,0.524744639641133,0.7657781804126589,-0.24103354077152583
all,equal_feature,False,family,their_sing,pronoun_anchor,154,0.5914909422891269,0.8225295474841754,-0.23103860519504849
all,equal_feature,False,family,theirs_sing,pronoun_anchor,154,0.5049553853125748,0.736338205254687,-0.23138281994211218
all,equal_feature,False,family,their_plur,pronoun_anchor,154,0.612507548145454,0.83837495161198,-0.2258674034665259
all,equal_feature,False,family,theirs_plur,pronoun_anchor,154,0.5255562539486076,0.7512284962061748,-0.2256722422575672
all,equal_feature,False,family,them_sing,pronoun_anchor,154,0.5226250890017174,0.8006913449034571,-0.2780662559017396
all,equal_feature,False,family,them_plur,pronoun_anchor,154,0.5540065466251243,0.8345124490398996,-0.28050590241477535
all,equal_feature,False,family,themself,pronoun_anchor,154,0.5622595619389467,0.7657781804126589,-0.20351861847371222
all,equal_feature,False,family,themselves,pronoun_anchor,154,0.567990728369311,0.7897178855931827,-0.2217271572238717
all,equal_feature,False,family,they_sing,pronoun_anchor,154,0.5681837708327379,0.8083710121210341,-0.24018724128829627
all,equal_feature,False,family,they_plur,pronoun_anchor,154,0.5940404083356735,0.8418691732473196,-0.24782876491164607
all,equal_feature,False,family,we_pron,pronoun_anchor,154,0.5513497580938054,0.8263087195311103,-0.2749589614373049
all,equal_feature,False,family,us_pron,pronoun_anchor,154,0.5187523994553652,0.8090524400671462,-0.29030004061178094
all,equal_feature,False,family,our,pronoun_anchor,154,0.5809525804089897,0.8382649350157386,-0.25731235460674895
all,equal_feature,False,family,ours,pronoun_anchor,154,0.4786694378007214,0.736338205254687,-0.25766876745396555
all,equal_feature,False,family,ourselves,pronoun_anchor,154,0.542416479204817,0.7806054719549766,-0.2381889927501597
all,equal_feature,False,family,you_pron_sing,pronoun_anchor,154,0.5484830942788401,0.7762936940911997,-0.22781059981235963
all,equal_feature,False,family,you_pron_plur,pronoun_anchor,154,0.5553135879111758,0.7941867151051132,-0.23887312719393738
all,equal_feature,False,family,your_sing,pronoun_anchor,154,0.6192616196801293,0.8358343497046228,-0.2165727300244935
all,equal_feature,False,family,yours_sing,pronoun_anchor,154,0.5073646965458557,0.7413908896012115,-0.23402619305535577
all,equal_feature,False,family,your_plur,pronoun_anchor,154,0.6192616196801293,0.8358343497046228,-0.2165727300244935
all,equal_feature,False,family,yours_plur,pronoun_anchor,154,0.5119090013900536,0.7222448497108597,-0.2103358483208061
all,equal_feature,False,family,yourself,pronoun_anchor,154,0.547654756312489,0.7622075652176947,-0.21455280890520567
all,equal_feature,False,family,yourselves,pronoun_anchor,154,0.5489760791858002,0.7772152900318432,-0.22823921084604304
no_morph,equal_feature,False,item,anybody,compound_anchor,89,0.7447352336061431,0.4542870911754856,0.29044814243065753
no_morph,equal_feature,False,item,anyone,compound_anchor,89,0.7447352336061431,0.4542870911754856,0.29044814243065753
no_morph,equal_feature,False,item,anything,compound_anchor,89,0.7464428269697864,0.47085722706412364,0.2755855999056627
no_morph,equal_feature,False,item,anywhere,compound_anchor,89,0.8162890313059344,0.5510910214223557,0.2651980098835788
no_morph,equal_feature,False,item,everybody,compound_anchor,89,0.6706384188852103,0.484139185033234,0.18649923385197625
no_morph,equal_feature,False,item,everyone,compound_anchor,89,0.6706384188852103,0.484139185033234,0.18649923385197625
no_morph,equal_feature,False,item,everything,compound_anchor,89,0.7046289444082938,0.4606822183981991,0.2439467260100947
no_morph,equal_feature,False,item,everywhere,compound_anchor,89,0.7829594223278943,0.5410467476884269,0.24191267463946742
no_morph,equal_feature,False,item,nobody,compound_anchor,89,0.729016466588784,0.4207270040193579,0.30828946256942613
no_morph,equal_feature,False,item,no_one,compound_anchor,89,0.729016466588784,0.4207270040193579,0.30828946256942613
no_morph,equal_feature,False,item,nothing,compound_anchor,89,0.7547563739160308,0.4484471737493614,0.3063092001666694
no_morph,equal_feature,False,item,nowhere,compound_anchor,89,0.8198098162340919,0.5425104038904559,0.277299412343636
no_morph,equal_feature,False,item,somebody,compound_anchor,89,0.733466038068959,0.4432026843720997,0.29026335369685935
no_morph,equal_feature,False,item,someone,compound_anchor,89,0.733466038068959,0.4432026843720997,0.29026335369685935
no_morph,equal_feature,False,item,something,compound_anchor,89,0.7568360111281108,0.4753936061069995,0.28144240502111134
no_morph,equal_feature,False,item,somewhere,compound_anchor,89,0.8250351360217458,0.57641880931736,0.24861632670438583
no_morph,equal_feature,False,item,each_other,target,89,0.6275402401733168,0.7039489084330575,-0.07640866825974069
no_morph,equal_feature,False,item,one_another,target,89,0.6275402401733168,0.7039489084330575,-0.07640866825974069
no_morph,equal_feature,False,item,he,pronoun_anchor,89,0.5612544661756251,0.759233422593149,-0.19797895641752383
no_morph,equal_feature,False,item,him,pronoun_anchor,89,0.4909325482847639,0.7475335904440905,-0.2566010421593266
no_morph,equal_feature,False,item,himself,pronoun_anchor,89,0.5155052625218307,0.7613281574345082,-0.2458228949126775
no_morph,equal_feature,False,item,his,pronoun_anchor,89,0.47569255335122207,0.6864910576158971,-0.21079850426467506
no_morph,equal_feature,False,item,she,pronoun_anchor,89,0.560233557201087,0.759233422593149,-0.19899986539206194
no_morph,equal_feature,False,item,her_acc,pronoun_anchor,89,0.47805468093526243,0.715870687566158,-0.23781600663089558
no_morph,equal_feature,False,item,her_dep,pronoun_anchor,89,0.603118361868996,0.7935030903701139,-0.19038472850111787
