pool,holdout,drop,metric,role,count,minimum,median,maximum
full,item,sem,dice,pronoun_anchor,41,0.0590568233371687,0.2580627850331419,0.3795671420162765
full,item,sem,hamming,compound_anchor,16,0.11758302328786,0.13929998622020115,0.1542372881355932
full,item,sem,hamming,pronoun_anchor,41,-0.0070974576271185,0.079343220338983,0.1145127118644068
full,item,sem,idf_jaccard,compound_anchor,16,0.2621096261726076,0.31072989511177607,0.3435955564785754
full,item,sem,idf_jaccard,pronoun_anchor,41,0.0365088598133418,0.1621271730020337,0.2149659593733178
full,item,sem,jaccard,compound_anchor,16,0.31362711788231,0.35891385987568347,0.4015684805943025
full,item,sem,jaccard,pronoun_anchor,41,0.0455568788865469,0.2354053778414002,0.3246148030875185
full,item,synt,dice,compound_anchor,16,0.2203270494514947,0.3211291924465456,0.4143936848636614
full,item,synt,dice,pronoun_anchor,41,0.0022460414874038,0.3595315683922713,0.4628568900035974
full,item,synt,hamming,compound_anchor,16,0.0957160725453407,0.1194027517198248,0.1459974984365229
full,item,synt,hamming,pronoun_anchor,41,-0.0322115384615384,0.1086538461538461,0.1278846153846153
full,item,synt,idf_jaccard,compound_anchor,16,0.1956966435962249,0.24265117826083138,0.2713076245264451
full,item,synt,idf_jaccard,pronoun_anchor,41,-0.0062334060267332,0.2096713859206459,0.2831148359566315
full,item,synt,jaccard,compound_anchor,16,0.2106642417473748,0.29939227260173706,0.3358459628340235
full,item,synt,jaccard,pronoun_anchor,41,0.0033392854481364,0.3327377354309876,0.3891688434991201
nonlocative,family,morph,dice,compound_anchor,12,0.1908467016403838,0.3083010801416461,0.3195139235632317
nonlocative,family,morph,dice,pronoun_anchor,41,0.0767147238579003,0.1858667130585852,0.2506024567133558
nonlocative,family,morph,hamming,compound_anchor,12,0.0992661612009377,0.1495691361407995,0.1665600925672178
nonlocative,family,morph,hamming,pronoun_anchor,41,0.0164743395080473,0.0941643891082092,0.1257235274089206
nonlocative,family,morph,idf_jaccard,compound_anchor,12,0.2075229181929201,0.2794839993349507,0.3293540282558068
nonlocative,family,morph,idf_jaccard,pronoun_anchor,41,0.0190480581591617,0.1505465974719846,0.2405560950963472
nonlocative,family,morph,jaccard,compound_anchor,12,0.1860962608516728,0.3024077345489446,0.3254646812279033
nonlocative,family,morph,jaccard,pronoun_anchor,41,0.0605268822062013,0.1862767925437136,0.2524345305497311
nonlocative,family,none,dice,compound_anchor,12,0.2553258156425616,0.34910812954392656,0.3630855685793023
nonlocative,family,none,dice,pronoun_anchor,41,0.0322435622982703,0.2280155959234382,0.297794801672083
nonlocative,family,none,hamming,compound_anchor,12,0.1087178404251575,0.1356245380635624,0.146886988350403
nonlocative,family,none,hamming,pronoun_anchor,41,-0.0077805077805077,0.0855327468230694,0.1076839826839827
nonlocative,family,none,idf_jaccard,compound_anchor,12,0.2112188746933792,0.26203921640504213,0.3006226547907942
nonlocative,family,none,idf_jaccard,pronoun_anchor,41,0.0002927737553981,0.1485378774461996,0.2184209722854636
nonlocative,family,none,jaccard,compound_anchor,12,0.2417619094539054,0.3314141293987613,0.3549424675696594
nonlocative,family,none,jaccard,pronoun_anchor,41,0.0257237289700114,0.2173213239895779,0.2712594044779257
nonlocative,family,phon,dice,compound_anchor,12,0.2489527655087252,0.34335885344385825,0.3569899803005937
nonlocative,family,phon,dice,pronoun_anchor,41,0.0402056248929586,0.2209990182982142,0.3067538008398551
nonlocative,family,phon,hamming,compound_anchor,12,0.1049013801396291,0.1323426479297906,0.1438288555070981
nonlocative,family,phon,hamming,pronoun_anchor,41,-0.0018495316508561,0.0883002207505518,0.1160779985283296
nonlocative,family,phon,idf_jaccard,compound_anchor,12,0.2096105177053426,0.26099591316955484,0.2996715648250343
nonlocative,family,phon,idf_jaccard,pronoun_anchor,41,0.002335356572041,0.1490986872540548,0.2139375340826909
nonlocative,family,phon,jaccard,compound_anchor,12,0.2364375289155751,0.32704139784538294,0.3501981078289963
nonlocative,family,phon,jaccard,pronoun_anchor,41,0.0320584988552338,0.2181369646537256,0.2760029327710163
nonlocative,family,sem,dice,compound_anchor,12,0.3611184826087197,0.4122074629063369,0.4371335435193468
nonlocative,family,sem,dice,pronoun_anchor,41,0.0173838575173633,0.2173324936288587,0.3303369500356615
nonlocative,family,sem,hamming,compound_anchor,12,0.132377933948831,0.1428505810481833,0.1563088512241054
nonlocative,family,sem,hamming,pronoun_anchor,41,-0.0100206138341731,0.0769774011299434,0.1092810278840896
nonlocative,family,sem,idf_jaccard,compound_anchor,12,0.286682773793007,0.32787067279991616,0.3607860166409997
nonlocative,family,sem,idf_jaccard,pronoun_anchor,41,0.0148596731627922,0.1363212579129892,0.202757225650995
nonlocative,family,sem,jaccard,compound_anchor,12,0.3449071174007741,0.3931168895012843,0.4164736897169029
nonlocative,family,sem,jaccard,pronoun_anchor,41,0.0169497447655814,0.2134877213081545,0.2853606118639702
nonlocative,family,synt,dice,compound_anchor,12,0.2193104636056867,0.3339223165083006,0.3502152639347524
nonlocative,family,synt,dice,pronoun_anchor,41,-0.0074244187885186,0.3125924288493136,0.4316312753790366
nonlocative,family,synt,hamming,compound_anchor,12,0.0955023973316655,0.11973629351678125,0.1243224932249323
nonlocative,family,synt,hamming,pronoun_anchor,41,-0.0346067221067221,0.0892266335814723,0.1191239316239316
nonlocative,family,synt,idf_jaccard,compound_anchor,12,0.1364821076006436,0.1931667274418952,0.2150263781734966
nonlocative,family,synt,idf_jaccard,pronoun_anchor,41,-0.0297437628487705,0.1641235867917669,0.2719897703989485
nonlocative,family,synt,jaccard,compound_anchor,12,0.1952774546214571,0.2982736128386708,0.3239370730204214
nonlocative,family,synt,jaccard,pronoun_anchor,41,-0.0044985704761633,0.2759355535444104,0.3673868484644346
nonlocative,item,morph,dice,compound_anchor,12,0.2340944243454708,0.3417593609317397,0.3519654226813975
