lemma,role,family,pool,holdout,drop,metric,d_pronoun,d_compound,delta,signed_control_margin
anywhere,compound_anchor,C:any,full,item,none,dice,0.748614396356783,0.3887230846539551,0.3598913117028278,0.3598913117028278
anywhere,compound_anchor,C:any,full,item,none,hamming,0.2625910674691163,0.1272727272727272,0.135318340196389,0.135318340196389
anywhere,compound_anchor,C:any,full,item,none,idf_jaccard,0.9401441150240794,0.6776070658930401,0.2625370491310392,0.2625370491310392
anywhere,compound_anchor,C:any,full,family,none,jaccard,0.8547436166810498,0.5822675681391365,0.2724760485419133,0.2724760485419133
anywhere,compound_anchor,C:any,full,family,none,dice,0.748614396356783,0.4187969375784502,0.3298174587783327,0.3298174587783327
anywhere,compound_anchor,C:any,full,family,none,hamming,0.2625910674691163,0.1369047619047619,0.1256863055643544,0.1256863055643544
anywhere,compound_anchor,C:any,full,family,none,idf_jaccard,0.9402559958272266,0.7340729001271885,0.2061830957000381,0.2061830957000381
everybody,compound_anchor,C:every,full,item,none,jaccard,0.733660770843567,0.486750788332945,0.2469099825106219,0.2469099825106219
everybody,compound_anchor,C:every,full,item,none,dice,0.5830908793127139,0.3352698400939971,0.2478210392187167,0.2478210392187167
everybody,compound_anchor,C:every,full,item,none,hamming,0.2328159645232816,0.1229437229437229,0.1098722415795586,0.1098722415795586
everybody,compound_anchor,C:every,full,item,none,idf_jaccard,0.8916406141784952,0.6474611268593923,0.2441794873191028,0.2441794873191028
everybody,compound_anchor,C:every,full,family,none,jaccard,0.733660770843567,0.5417937156464114,0.1918670551971555,0.1918670551971555
everybody,compound_anchor,C:every,full,family,none,dice,0.5830908793127139,0.3781044666898412,0.2049864126228726,0.2049864126228726
everybody,compound_anchor,C:every,full,family,none,hamming,0.2328159645232816,0.137987012987013,0.0948289515362686,0.0948289515362686
everybody,compound_anchor,C:every,full,family,none,idf_jaccard,0.8946334789836573,0.7273796097156641,0.1672538692679932,0.1672538692679932
everybody,compound_anchor,C:every,nonlocative,item,none,jaccard,0.733660770843567,0.4332660743925186,0.3003946964510484,0.3003946964510484
everybody,compound_anchor,C:every,nonlocative,item,none,dice,0.5830908793127139,0.2857135915083819,0.297377287804332,0.297377287804332
everybody,compound_anchor,C:every,nonlocative,item,none,hamming,0.2328159645232816,0.1086186540731995,0.1241973104500821,0.1241973104500821
everybody,compound_anchor,C:every,nonlocative,item,none,idf_jaccard,0.8988811607764718,0.6095847601431171,0.2892964006333547,0.2892964006333547
everybody,compound_anchor,C:every,nonlocative,family,none,jaccard,0.733660770843567,0.491738782282214,0.2419219885613529,0.2419219885613529
everybody,compound_anchor,C:every,nonlocative,family,none,dice,0.5830908793127139,0.3277001243883807,0.2553907549243331,0.2553907549243331
everybody,compound_anchor,C:every,nonlocative,family,none,hamming,0.2328159645232816,0.1240981240981241,0.1087178404251575,0.1087178404251575
everybody,compound_anchor,C:every,nonlocative,family,none,idf_jaccard,0.899386422727194,0.6874112940484023,0.2119751286787917,0.2119751286787917
everyone,compound_anchor,C:every,full,item,none,jaccard,0.733660770843567,0.4868468357974134,0.2468139350461535,0.2468139350461535
everyone,compound_anchor,C:every,full,item,none,dice,0.5830908793127139,0.3353088036630601,0.2477820756496537,0.2477820756496537
everyone,compound_anchor,C:every,full,item,none,hamming,0.2328159645232816,0.1229437229437229,0.1098722415795586,0.1098722415795586
everyone,compound_anchor,C:every,full,item,none,idf_jaccard,0.8916406141784952,0.6480325504798081,0.243608063698687,0.243608063698687
everyone,compound_anchor,C:every,full,family,none,jaccard,0.733660770843567,0.541913774976997,0.1917469958665699,0.1917469958665699
everyone,compound_anchor,C:every,full,family,none,dice,0.5830908793127139,0.37815317115117,0.2049377081615438,0.2049377081615438
everyone,compound_anchor,C:every,full,family,none,hamming,0.2328159645232816,0.137987012987013,0.0948289515362686,0.0948289515362686
everyone,compound_anchor,C:every,full,family,none,idf_jaccard,0.8946334789836573,0.7279762693918036,0.1666572095918537,0.1666572095918537
everyone,compound_anchor,C:every,nonlocative,item,none,jaccard,0.733660770843567,0.4333970482077028,0.3002637226358641,0.3002637226358641
everyone,compound_anchor,C:every,nonlocative,item,none,dice,0.5830908793127139,0.2857667236480131,0.2973241556647007,0.2973241556647007
everyone,compound_anchor,C:every,nonlocative,item,none,hamming,0.2328159645232816,0.1086186540731995,0.1241973104500821,0.1241973104500821
everyone,compound_anchor,C:every,nonlocative,item,none,idf_jaccard,0.8988811607764718,0.6102778150908477,0.2886033456856242,0.2886033456856242
everyone,compound_anchor,C:every,nonlocative,family,none,jaccard,0.733660770843567,0.4918988613896615,0.2417619094539054,0.2417619094539054
everyone,compound_anchor,C:every,nonlocative,family,none,dice,0.5830908793127139,0.3277650636701522,0.2553258156425616,0.2553258156425616
everyone,compound_anchor,C:every,nonlocative,family,none,hamming,0.2328159645232816,0.1240981240981241,0.1087178404251575,0.1087178404251575
everyone,compound_anchor,C:every,nonlocative,family,none,idf_jaccard,0.899386422727194,0.6881675480338149,0.2112188746933792,0.2112188746933792
everything,compound_anchor,C:every,full,item,none,jaccard,0.7565489242797919,0.4680903516042834,0.2884585726755084,0.2884585726755084
everything,compound_anchor,C:every,full,item,none,dice,0.6124822194494751,0.312807939103073,0.2996742803464021,0.2996742803464021
everything,compound_anchor,C:every,full,item,none,hamming,0.2454862210959772,0.1151515151515151,0.1303347059444621,0.1303347059444621
everything,compound_anchor,C:every,full,item,none,idf_jaccard,0.9072013254247532,0.6420681510850996,0.2651331743396536,0.2651331743396536
everything,compound_anchor,C:every,full,family,none,jaccard,0.7565489242797919,0.5118558588953325,0.2446930653844594,0.2446930653844594
everything,compound_anchor,C:every,full,family,none,dice,0.6124822194494751,0.3480463321037044,0.2644358873457706,0.2644358873457706
everything,compound_anchor,C:every,full,family,none,hamming,0.2454862210959772,0.1271645021645021,0.1183217189314751,0.1183217189314751
everything,compound_anchor,C:every,full,family,none,idf_jaccard,0.9087838735822008,0.7104795681164426,0.1983043054657581,0.1983043054657581
everything,compound_anchor,C:every,nonlocative,item,none,jaccard,0.7565489242797919,0.4491090741090741,0.3074398501707178,0.3074398501707178
everything,compound_anchor,C:every,nonlocative,item,none,dice,0.6124822194494751,0.2959548007185452,0.3165274187309299,0.3165274187309299
everything,compound_anchor,C:every,nonlocative,item,none,hamming,0.2454862210959772,0.1121605667060212,0.133325654389956,0.133325654389956
everything,compound_anchor,C:every,nonlocative,item,none,idf_jaccard,0.910398764468101,0.6265086169019235,0.2838901475661775,0.2838901475661775
everything,compound_anchor,C:every,nonlocative,family,none,jaccard,0.7565489242797919,0.4871826955160288,0.2693662287637631,0.2693662287637631
everything,compound_anchor,C:every,nonlocative,family,none,dice,0.6124822194494751,0.3258802403047451,0.2866019791447299,0.2866019791447299
everything,compound_anchor,C:every,nonlocative,family,none,hamming,0.2454862210959772,0.1226551226551226,0.1228310984408546,0.1228310984408546
everything,compound_anchor,C:every,nonlocative,family,none,idf_jaccard,0.9107854505887396,0.6844384063004172,0.2263470442883224,0.2263470442883224
everywhere,compound_anchor,C:every,full,item,none,jaccard,0.8135989693675669,0.5318057159475386,0.2817932534200283,0.2817932534200283
everywhere,compound_anchor,C:every,full,item,none,dice,0.6882420971998363,0.3703169267666943,0.317925170433142,0.317925170433142
everywhere,compound_anchor,C:every,full,item,none,hamming,0.2545137789040227,0.1272727272727272,0.1272410516312955,0.1272410516312955
everywhere,compound_anchor,C:every,full,item,none,idf_jaccard,0.9243514862986526,0.6709470844690931,0.2534044018295595,0.2534044018295595
everywhere,compound_anchor,C:every,full,family,none,jaccard,0.8135989693675669,0.5612197840441211,0.2523791853234458,0.2523791853234458
everywhere,compound_anchor,C:every,full,family,none,dice,0.6882420971998363,0.3971066847741573,0.291135412425679,0.291135412425679
everywhere,compound_anchor,C:every,full,family,none,hamming,0.2545137789040227,0.1347402597402597,0.119773519163763,0.119773519163763
everywhere,compound_anchor,C:every,full,family,none,idf_jaccard,0.9251584763583898,0.7282271868557416,0.1969312895026481,0.1969312895026481
nobody,compound_anchor,C:no,full,item,none,jaccard,0.7705789558217474,0.4344618402155974,0.33611711560615,0.33611711560615
