drop,holdout,weighting,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges
morph,family,equal_block_total,57,56,-0.36017420865664584,0.02044842489151144,0.1907818326355719,0.32682764013955407,0.018662064666345457,True,False,False,0.018662064666345457,True,False,False
morph,family,original_equal_feature,57,57,-0.2756447092359755,-0.0669282944681209,0.1323774096790536,0.2743256118575342,-0.0764086682597408,True,False,False,-0.0764086682597408,True,False,False
morph,item,equal_block_total,57,56,-0.36502498693288166,0.01660494759246156,0.24703488859330136,0.3615526860179498,0.018662064666345457,False,False,True,0.018662064666345457,False,False,True
morph,item,original_equal_feature,57,57,-0.2830518159486867,-0.0745785168048943,0.1864992338519762,0.3082894625694261,-0.0764086682597408,True,False,False,-0.0764086682597408,True,False,False
none,family,equal_block_total,57,56,-0.35605034306566136,0.021559678758266032,0.21603032070354256,0.33386561415747606,0.07179381040882338,False,False,True,0.07312764284192885,False,False,True
none,family,original_equal_feature,57,57,-0.2949567039145228,-0.0355044815595858,0.1917469958665699,0.3040121444816234,0.0397758759773642,False,False,True,0.0455444433596636,False,False,True
none,item,equal_block_total,57,56,-0.35987280041109543,0.017254673761724182,0.27253326480623874,0.3680810159473574,0.07179381040882338,False,False,True,0.07312764284192885,False,False,True
none,item,original_equal_feature,57,57,-0.3021301057547009,-0.0429940769423199,0.2468139350461535,0.33611711560615,0.0397758759773642,False,False,True,0.0455444433596636,False,False,True
