lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
his,pronoun_anchor,P:he,True,full,family,none,original_equal_feature,154,37,16,0.4868728880160287,0.742109479495717,-0.2552365914796883,0.2552365914796883
she,pronoun_anchor,P:she,True,full,item,none,original_equal_feature,154,40,16,0.5437060085442913,0.8139626829453532,-0.2702566744010619,0.2702566744010619
she,pronoun_anchor,P:she,True,full,family,none,original_equal_feature,154,36,16,0.54946873262238,0.8139626829453532,-0.2644939503229732,0.2644939503229732
her_acc,pronoun_anchor,P:she,True,full,item,none,original_equal_feature,154,40,16,0.4930180702731975,0.7834820942999944,-0.2904640240267969,0.2904640240267969
her_acc,pronoun_anchor,P:she,True,full,family,none,original_equal_feature,154,36,16,0.5025491432190912,0.7834820942999944,-0.2809329510809032,0.2809329510809032
her_dep,pronoun_anchor,P:she,True,full,item,none,original_equal_feature,154,40,16,0.5812561284877116,0.833527924107552,-0.2522717956198405,0.2522717956198405
her_dep,pronoun_anchor,P:she,True,full,family,none,original_equal_feature,154,36,16,0.58168839510854,0.833527924107552,-0.2518395289990121,0.2518395289990121
hers,pronoun_anchor,P:she,True,full,item,none,original_equal_feature,154,40,16,0.4779141001926312,0.7386792842136854,-0.2607651840210542,0.2607651840210542
hers,pronoun_anchor,P:she,True,full,family,none,original_equal_feature,154,36,16,0.4823636859739174,0.7386792842136854,-0.256315598239768,0.256315598239768
herself,pronoun_anchor,P:she,True,full,item,none,original_equal_feature,154,40,16,0.5354097698147917,0.7657781804126589,-0.2303684105978671,0.2303684105978671
herself,pronoun_anchor,P:she,True,full,family,none,original_equal_feature,154,36,16,0.5393269489941797,0.7657781804126589,-0.2264512314184792,0.2264512314184792
it_plain,pronoun_anchor,P:it,True,full,item,none,original_equal_feature,154,40,16,0.5972949366244504,0.8040189737051582,-0.2067240370807077,0.2067240370807077
it_plain,pronoun_anchor,P:it,True,full,family,none,original_equal_feature,154,37,16,0.5998129598989207,0.8040189737051582,-0.2042060138062374,0.2042060138062374
it_dum,pronoun_anchor,P:it,True,full,item,none,original_equal_feature,154,40,16,0.7647617862771637,0.8077558632194837,-0.0429940769423199,0.0429940769423199
it_dum,pronoun_anchor,P:it,True,full,family,none,original_equal_feature,154,37,16,0.7722513816598978,0.8077558632194837,-0.0355044815595858,0.0355044815595858
its,pronoun_anchor,P:it,True,full,item,none,original_equal_feature,154,40,16,0.6031273246257807,0.7895659837852846,-0.1864386591595039,0.1864386591595039
its,pronoun_anchor,P:it,True,full,family,none,original_equal_feature,154,37,16,0.6034452415516806,0.7895659837852846,-0.1861207422336041,0.1861207422336041
itself,pronoun_anchor,P:it,True,full,item,none,original_equal_feature,154,40,16,0.6077943668553462,0.7395259141501344,-0.1317315472947882,0.1317315472947882
itself,pronoun_anchor,P:it,True,full,family,none,original_equal_feature,154,37,16,0.6114668830868607,0.7395259141501344,-0.1280590310632736,0.1280590310632736
I,pronoun_anchor,P:I,True,full,item,none,original_equal_feature,154,40,16,0.5527598492087257,0.8313743634948705,-0.2786145142861448,0.2786145142861448
I,pronoun_anchor,P:I,True,full,family,none,original_equal_feature,154,36,16,0.5567702028245098,0.8313743634948705,-0.2746041606703606,0.2746041606703606
