"draw","knn_overlap_anchors","knn_overlap_reciprocals"
1,0.0148148148148148,0
2,0.0296296296296296,0.0555555555555556
3,0.00740740740740741,0.125
4,0.0185185185185185,0
5,0.0185185185185185,0
6,0.0148148148148148,0
7,0.00740740740740741,0
8,0.0037037037037037,0.0555555555555556
9,0.0259259259259259,0
10,0.0185185185185185,0
11,0.0305555555555556,0
12,0.0148148148148148,0
13,0.0185185185185185,0
14,0.0185185185185185,0
15,0.0148148148148148,0.0555555555555556
16,0.0185185185185185,0
17,0.0333333333333333,0.111111111111111
18,0.0194444444444444,0
19,0.0148148148148148,0.0555555555555556
20,0.0185185185185185,0.0555555555555556
21,0.0148148148148148,0
22,0.0111111111111111,0.111111111111111
23,0.0259259259259259,0.125
24,0.0111111111111111,0
25,0.0148148148148148,0
26,0.0268518518518519,0
27,0.0342592592592593,0
28,0.0314814814814815,0.0555555555555556
29,0.0259259259259259,0.0555555555555556
30,0.0074074074074074,0
31,0.0314814814814815,0.111111111111111
32,0.0111111111111111,0.0555555555555556
33,0.0185185185185185,0.0555555555555556
34,0.0296296296296296,0
35,0.0296296296296296,0
36,0.0074074074074074,0
37,0.00740740740740741,0
38,0.0148148148148148,0.0555555555555556
39,0.00740740740740741,0
40,0.0148148148148148,0
41,0.0305555555555556,0
42,0.0148148148148148,0
43,0.0222222222222222,0
44,0.0185185185185185,0
45,0.0148148148148148,0
46,0.0222222222222222,0.111111111111111
47,0.0374338624338624,0
48,0.0259259259259259,0
49,0.0342592592592593,0
50,0.0296296296296296,0.0555555555555556
51,0.0111111111111111,0.0555555555555556
52,0.0222222222222222,0
53,0.00740740740740741,0
54,0,0
55,0.0305555555555556,0.0555555555555556
56,0.0148148148148148,0
57,0.0365079365079365,0.0555555555555556
58,0.0333333333333333,0.0555555555555556
59,0.0111111111111111,0.0555555555555556
60,0.0305555555555556,0
61,0.0462962962962963,0.0555555555555556
62,0.0148148148148148,0.125
63,0.0268518518518519,0
64,0.00740740740740741,0
65,0.0259259259259259,0.0555555555555556
66,0.05,0.0555555555555556
67,0.0222222222222222,0
68,0.0222222222222222,0
69,0.0222222222222222,0.0555555555555556
70,0.0342592592592593,0
71,0.0148148148148148,0
72,0.0259259259259259,0
73,0,0
74,0.0268518518518519,0
75,0.0194444444444444,0.0555555555555556
76,0.0148148148148148,0
77,0.0407407407407407,0
78,0.0296296296296296,0.0555555555555556
79,0.0111111111111111,0
80,0.0185185185185185,0
81,0.0037037037037037,0
82,0.0305555555555556,0
83,0.0305555555555556,0
84,0.0222222222222222,0
85,0.0148148148148148,0.0555555555555556
86,0.0157407407407407,0
87,0.0185185185185185,0
88,0.0185185185185185,0.111111111111111
89,0.0259259259259259,0
90,0.0222222222222222,0
91,0.0333333333333333,0.111111111111111
92,0.0111111111111111,0.0555555555555556
93,0.0296296296296296,0.0555555555555556
94,0.0185185185185185,0
95,0.0240740740740741,0
96,0.0314814814814815,0
97,0.0111111111111111,0.0555555555555556
98,0.0296296296296296,0
99,0.0148148148148148,0
100,0.00833333333333333,0.111111111111111
101,0.0111111111111111,0.0555555555555556
102,0.0333333333333333,0.0555555555555556
103,0.0222222222222222,0.0555555555555556
104,0.0185185185185185,0.0555555555555556
105,0.037037037037037,0.0555555555555556
106,0.0111111111111111,0.111111111111111
107,0.0259259259259259,0
108,0.0185185185185185,0
109,0.0148148148148148,0
110,0.0222222222222222,0
111,0.037962962962963,0
112,0.0222222222222222,0.111111111111111
113,0.00740740740740741,0
114,0.0111111111111111,0
115,0.0185185185185185,0
116,0.0259259259259259,0.0555555555555556
117,0.0185185185185185,0
118,0.0148148148148148,0.0555555555555556
119,0.0148148148148148,0
120,0.0148148148148148,0
121,0.0416666666666667,0
122,0.00740740740740741,0
123,0.0259259259259259,0
124,0.00740740740740741,0.111111111111111
125,0.0268518518518519,0
126,0.0296296296296296,0
127,0.0111111111111111,0
128,0.0388888888888889,0
129,0.037037037037037,0.0555555555555556
130,0.0111111111111111,0
131,0.0185185185185185,0
132,0.0148148148148148,0
133,0.0268518518518519,0.0555555555555556
134,0.0148148148148148,0
135,0.0296296296296296,0
136,0.0222222222222222,0
137,0.037962962962963,0
138,0.0194444444444444,0
139,0.0231481481481482,0
140,0.0268518518518519,0.0555555555555556
141,0.0342592592592593,0
142,0.0157407407407407,0
143,0.0268518518518519,0.0555555555555556
144,0.0314814814814815,0
145,0.0148148148148148,0
146,0.0425925925925926,0
147,0.0259259259259259,0
148,0.0259259259259259,0.0555555555555556
149,0.0185185185185185,0
150,0.0259259259259259,0
151,0.0296296296296296,0
152,0.0259259259259259,0
153,0.0305555555555556,0.0555555555555556
154,0.0037037037037037,0
155,0.0111111111111111,0
156,0.0222222222222222,0
157,0.00740740740740741,0
158,0.0259259259259259,0.0555555555555556
159,0.0185185185185185,0
160,0.012037037037037,0
161,0.00740740740740741,0
162,0.0185185185185185,0
163,0.0148148148148148,0.0555555555555556
164,0.0148148148148148,0
165,0,0
166,0.00740740740740741,0
167,0,0.0555555555555556
168,0.0305555555555556,0
169,0.0194444444444444,0
170,0.0148148148148148,0
171,0.0185185185185185,0.0555555555555556
172,0.0148148148148148,0
173,0.0222222222222222,0
174,0.00740740740740741,0
175,0.0148148148148148,0
176,0.0157407407407407,0
177,0.0296296296296296,0.0555555555555556
178,0.0074074074074074,0
179,0.0231481481481482,0.0555555555555556
180,0.0111111111111111,0
181,0.0259259259259259,0
182,0.0231481481481482,0
183,0.0185185185185185,0
184,0.0296296296296296,0.0555555555555556
185,0.0185185185185185,0.0555555555555556
186,0.0148148148148148,0.0555555555555556
187,0.0259259259259259,0
188,0.0148148148148148,0.0555555555555556
189,0.00740740740740741,0
190,0.0148148148148148,0.0555555555555556
191,0.0185185185185185,0
192,0.0185185185185185,0
193,0.0305555555555556,0
194,0.0259259259259259,0
195,0.037962962962963,0
196,0.0314814814814815,0
197,0.0222222222222222,0
