"lemma","w","mean_log_loss"
"each_other",0,0.414535660032205
"each_other",0.001,0.413372145224246
"each_other",0.002,0.412309657600441
"each_other",0.003,0.411328387337043
"each_other",0.004,0.410414015586544
"each_other",0.005,0.40955584390695
"each_other",0.006,0.408745659124535
"each_other",0.007,0.407977011701363
"each_other",0.008,0.407244738979506
"each_other",0.009,0.406544639831297
"each_other",0.01,0.405873246398991
"each_other",0.011,0.40522766006963
"each_other",0.012,0.404605431116149
"each_other",0.013,0.404004468735524
"each_other",0.014,0.403422972695631
"each_other",0.015,0.402859380633038
"each_other",0.016,0.402312326878023
"each_other",0.017,0.401780609898766
"each_other",0.018,0.40126316627913
"each_other",0.019,0.400759049711224
"each_other",0.02,0.40026741388116
"each_other",0.021,0.399787498409083
"each_other",0.022,0.399318617208569
"each_other",0.023,0.39886014877968
"each_other",0.024,0.398411528060289
"each_other",0.025,0.397972239542911
"each_other",0.026,0.397541811426671
"each_other",0.027,0.397119810621679
"each_other",0.028,0.396705838459787
"each_other",0.029,0.396299526994175
"each_other",0.03,0.39590053579251
"each_other",0.031,0.395508549146008
"each_other",0.032,0.395123273630707
"each_other",0.033,0.394744435968363
"each_other",0.034,0.394371781143433
"each_other",0.035,0.394005070739781
"each_other",0.036,0.393644081466732
"each_other",0.037,0.393288603848857
"each_other",0.038,0.392938441057895
"each_other",0.039,0.392593407868467
"each_other",0.04,0.392253329721962
"each_other",0.041,0.391918041885255
"each_other",0.042,0.391587388692801
"each_other",0.043,0.391261222862242
"each_other",0.044,0.39093940487502
"each_other",0.045,0.390621802414616
"each_other",0.046,0.390308289856007
"each_other",0.047,0.389998747800749
"each_other",0.048,0.389693062652818
"each_other",0.049,0.389391126230908
"each_other",0.05,0.38909283541346
"each_other",0.051,0.388798091813074
"each_other",0.052,0.388506801477421
"each_other",0.053,0.388218874614038
"each_other",0.054,0.387934225336733
"each_other",0.055,0.387652771431556
"each_other",0.056,0.387374434140514
"each_other",0.057,0.387099137961435
"each_other",0.058,0.386826810462498
"each_other",0.059,0.386557382110164
"each_other",0.06,0.386290786109329
"each_other",0.061,0.386026958254654
"each_other",0.062,0.385765836792136
"each_other",0.063,0.385507362290064
"each_other",0.064,0.385251477518593
"each_other",0.065,0.384998127337253
"each_other",0.066,0.384747258589746
"each_other",0.067,0.384498820005472
"each_other",0.068,0.384252762107263
"each_other",0.069,0.384009037124852
"each_other",0.07,0.383767598913641
"each_other",0.071,0.383528402878394
"each_other",0.072,0.383291405901463
"each_other",0.073,0.38305656627526
"each_other",0.074,0.382823843638638
"each_other",0.075,0.382593198916929
"each_other",0.076,0.382364594265372
"each_other",0.077,0.382137993015714
"each_other",0.078,0.381913359625745
"each_other",0.079,0.381690659631601
"each_other",0.08,0.381469859602632
"each_other",0.081,0.381250927098666
"each_other",0.082,0.381033830629534
"each_other",0.083,0.380818539616693
"each_other",0.084,0.380605024356821
"each_other",0.085,0.380393255987267
"each_other",0.086,0.380183206453231
"each_other",0.087,0.379974848476582
