"draw","delta"
1,-0.00116076433332418
2,0.0254262073756689
3,0.0356673827243862
4,-0.0100497857016582
5,0.0372829191236504
6,-0.0245299344251645
7,0.0314412194908976
8,-0.0268215556107211
9,0.0110111022095198
10,-0.010937063471868
11,-0.0552575801245787
12,0.0250950295075466
13,-0.0119152552893954
14,-0.0121574904442517
15,-0.0150689368092195
16,-0.0115971550544171
17,-0.0285127787859478
18,0.00594442144734647
19,0.0309262367514903
20,-0.0100370571096859
21,-0.0461259246664267
22,-0.00702120396918726
23,0.00271461624928998
24,-0.000894947651276956
25,0.0390360581053657
26,-0.0480322690260618
27,0.0156446597924441
28,-0.00537674992543946
29,0.0300033541039674
30,-0.00514762374280309
31,-0.0194824355225733
32,-0.0152338825389599
33,-0.00979288382157939
34,0.024928350164545
35,0.0071447019602428
36,-0.00615787533251361
37,0.0194132858923879
38,0.0260694111075502
39,0.0324127405217208
40,0.00493612565665086
41,-0.00969272862930454
42,0.0349809352076613
43,-0.0206113290670032
44,-0.0121695844110733
45,0.0214535445348422
46,-0.0150612349266334
47,0.00982914628013121
48,0.0206963770796034
49,0.0436273880289548
50,0.0345346957681911
51,-0.0277766305991662
52,0.0247275265941935
53,0.011409388363901
54,-0.0158186358593164
55,0.00429177665395064
56,0.0104087242759081
57,0.0155737882416042
58,0.0114206042770541
59,-0.0288605049594028
60,0.0116981986905635
61,0.0221038429749556
62,0.0260264509702759
63,-0.00321452095843772
64,-0.0167034140999525
65,0.0139735828940171
66,0.00291470347703121
67,-0.0131770052696474
68,0.00798469195302887
69,0.0260105311086388
70,-0.0180551173751562
71,-0.025160609445782
72,0.0218738276087373
73,-0.00750498756756784
74,-0.0418609680229783
75,0.0323375774116982
76,-0.0434566960418596
77,-0.000807765819098583
78,-0.00510437956414334
79,-0.0217924979019665
80,0.0192838595385003
81,-0.0265339633432485
82,0.00482201120289866
83,0.0172831110968463
84,-0.00952277924427014
85,0.0187973424716243
86,0.0301827727323651
87,0.00316181476598837
88,0.0232720369762912
89,0.000274196926092041
90,-0.0320879319618166
91,-0.0243749905258278
92,-0.0240147168592902
93,0.011117348994165
94,0.00235748157268889
95,-0.0472088801459066
96,-0.000756818081495803
97,0.0194341632178455
98,0.0175061118708763
99,0.0016789012963615
100,0.0295368716508556
101,-0.00444311003285469
102,-0.00313307164336607
103,-0.00973238736258425
104,0.0107496635384108
105,-0.0330241280289688
106,-0.000354163626074433
107,-0.0482458218207275
108,0.0423151633752073
109,-0.00662073000622326
110,-0.00552107922956196
111,-0.00840019196995734
112,-0.00588940976931673
113,-0.0191161617668493
114,0.0271573501998055
115,0.0383576023734032
116,-0.00854267609935788
117,0.0207746888289669
118,0.011771492351863
119,-0.0100614194678143
120,-0.00220445339760789
121,-0.028102108134215
122,-0.00322934796304103
123,0.00456361336047828
124,0.0616618300092353
125,-0.0647843138555836
126,0.00135095357728027
127,0.02916997019148
128,0.00784591385035555
129,0.0334665395392855
130,0.0144006825970029
131,0.0178059427474486
132,0.0295210752702241
133,0.00555221673078915
134,-0.00915583232910844
135,-0.027550876796925
136,-0.0387082466252875
137,0.0109405006740548
138,-0.00698245683710602
139,-0.0147777386419459
140,-0.00909303041510706
141,-0.000551438137713745
142,-0.00973199638727545
143,0.00967428710114637
144,-0.03465912401595
145,0.057294893760722
146,0.00262826670187483
147,0.00787006512616001
148,0.017399956178023
149,0.00608664360679467
150,-0.0648054151554867
151,0.00232606085767412
152,0.0179206833724422
153,0.0321241015150742
154,0.00466895240155579
155,-0.00866055323697612
156,-0.00577430977883509
157,0.0110171925734407
158,0.0215150827950375
