"fused","pron","T_obs","T0","p_two_sided","subset"
"anybody;no_one;you_det;someone;anyone;us_det","themself;you_pron_sing;who_int;mine;our;they_plur",0.0212586849516004,-0.00785386476393014,0.266146770645871,"rotation"
"somebody;everybody;you_det;anybody;we_det;anyone","their_sing;one_s;we_pron;them_sing;itself;their_plur",0.0409083375623954,-0.00780835459792036,0.0633873225354929,"rotation"
"we_det;us_det;no_one;everyone;anybody;someone","I;theirs_sing;whose_int;themself;yourself;who_int",0.0116581275517309,-0.0049069258345462,0.525294941011798,"rotation"
"no_one;we_det;anybody;somebody;someone;you_det","you_pron_sing;itself;us_pron;them_plur;whatever_pron;he",-0.0161811746015182,-0.00476217480108164,0.674865026994601,"rotation"
"somebody;everybody;us_det;no_one;anybody;anyone","yourselves;they_plur;my;yourself;whatever_pron;whosever",0.0192641875255982,-0.00574280634085045,0.328934213157369,"rotation"
"everyone;no_one;you_det;anyone;anybody;us_det","them_sing;who_int;they_plur;one_pron;she;whosoever_s",0.0239762571919183,0.0043986030179277,0.467906418716257,"rotation"
"nobody;anybody;someone;we_det;us_det;no_one","herself;ourselves;one_pron;he;today;your_plur",-0.00176877982357759,0.0047443443869591,0.806438712257548,"rotation"
"no_one;we_det;everyone;anybody;everybody;us_det","its;whose_int;whatever_pron;yours_plur;ourselves;tonight",-0.0293201213782667,-0.00329191645847186,0.315336932613477,"rotation"
"everybody;you_det;anyone;someone;we_det;us_det","whosever;our;itself;oneself;them_sing;they_plur",-0.00528901160929807,-0.00429847617094525,0.968006398720256,"rotation"
"anybody;you_det;no_one;nobody;everyone;us_det","whom_int;themselves;there;who_rel;which_rel_pron;their_sing",0.0519627281158404,0.0298138080438848,0.399520095980804,"rotation"
"anybody;someone;nobody;no_one;you_det;somebody","I;itself;myself;yours_sing;what_pron;whoever",0.00910076519832614,-0.00329281306212886,0.64127174565087,"rotation"
"nobody;no_one;somebody;you_det;everyone;anyone","whatever_pron;they_plur;hers;her_acc;you_pron_plur;whosever",0.0307730825486877,-0.00474951516950027,0.175964807038592,"rotation"
"everybody;you_det;anybody;no_one;anyone;we_det","theirs_plur;its;itself;I;yours_sing;today",-0.0274728797264134,0.00103504324476025,0.276944611077784,"rotation"
"you_det;nobody;anyone;everybody;everyone;we_det","mine;theirs_plur;her_dep;who_int;itself;yesterday",0.00112030290630299,-0.00598220234687684,0.784243151369726,"rotation"
"anyone;we_det;someone;everyone;you_det;no_one","his;tonight;you_pron_plur;their_plur;whom_rel;its",0.00720638791046685,-0.000111965419558248,0.789642071585683,"rotation"
"anybody;nobody;someone;no_one;us_det;everyone","whose_int;mine;they_plur;their_plur;your_plur;our",0.111826236582054,-0.00684981565567084,0.0001999600079984,"rotation"
"nobody;everybody;we_det;someone;anybody;us_det","itself;theirs_plur;one_pron;them_plur;ours;whosoever_s",-0.00928048709218143,-0.00345070549619609,0.822035592881424,"rotation"
"we_det;you_det;somebody;nobody;everyone;someone","whom_rel;tonight;whosever;tomorrow;yourselves;they_plur",-0.0290228515695681,0.00426285836571406,0.222155568886223,"rotation"
"everyone;you_det;we_det;anyone;everybody;us_det","I;himself;whatever_pron;you_pron_plur;herself;themself",-0.0470096430622746,-0.00363492749372247,0.101379724055189,"rotation"
"anyone;anybody;everyone;we_det;somebody;someone","whosoever;ourselves;what_pron;ours;us_pron;their_plur",0.0254101851161498,-0.00921478048458976,0.181763647270546,"rotation"
"us_det;anybody;someone;we_det;no_one;everybody","hers;one_s;they_plur;itself;their_sing;it_plain",0.0259342918582388,-0.00204237783176074,0.300539892021596,"rotation"
"you_det;anybody;no_one;someone;somebody;everyone","you_pron_sing;ours;their_plur;themself;one_s;its",0.0606926772464567,-0.00786545671742551,0.0121975604879024,"rotation"
"no_one;us_det;nobody;someone;anyone;we_det","her_dep;whose_rel;hers;them_plur;whoever;you_pron_plur",0.0177599098871362,-0.00830666975289946,0.327934413117377,"rotation"
"anybody;nobody;no_one;everybody;someone;you_det","there;itself;they_sing;it_plain;yours_sing;her_acc",0.0860938070952568,0.0291158262111885,0.0331933613277345,"rotation"
"anybody;we_det;someone;somebody;no_one;nobody","who_rel;our;who_int;ourselves;yours_sing;whosoever",0.0403597076610931,-0.00481720947236145,0.0833833233353329,"rotation"
"we_det;us_det;no_one;anybody;you_det;everyone","he;their_plur;she;them_plur;yourself;my",0.0257472477925861,-0.00264586723733632,0.282743451309738,"rotation"
"you_det;nobody;someone;we_det;anyone;us_det","he;whosoever;tonight;theirs_plur;themself;your_plur",-0.0284418750955391,-0.00284190031959669,0.329334133173365,"rotation"
"us_det;everybody;anybody;somebody;anyone;you_det","yourself;yourselves;himself;tonight;theirs_plur;they_sing",-0.0452389623836406,-0.00257619849249332,0.106778644271146,"rotation"
"someone;anybody;you_det;everyone;somebody;we_det","her_dep;they_plur;which_rel_pron;our;themself;it_dum",0.0489858357735111,0.00900707887449911,0.140571885622875,"rotation"
"us_det;everyone;anybody;nobody;you_det;anyone","you_pron_sing;what_pron;who_rel;whose_rel;tonight;theirs_plur",-0.0145425683319351,0.00359929621216427,0.489902019596081,"rotation"
"us_det;we_det;no_one;somebody;you_det;someone","it_plain;tomorrow;they_sing;we_pron;my;them_plur",0.0148797163933587,-0.0040477627116315,0.489102179564087,"rotation"
"nobody;someone;no_one;everyone;us_det;anyone","them_plur;him;who_rel;tonight;one_s;it_plain",0.0369796983272484,0.00691783493710971,0.271345730853829,"rotation"
"we_det;somebody;no_one;everyone;nobody;anyone","whatever_pron;yours_plur;they_plur;we_pron;whoever_s;theirs_plur",0.0235834543298175,-0.00468689853096232,0.275344931013797,"rotation"
"someone;everybody;us_det;you_det;somebody;anyone","my;himself;tomorrow;themselves;one_pron;who_int",-0.00412561787192423,-0.00183001649304035,0.93121375724855,"rotation"
"somebody;nobody;we_det;everyone;everybody;someone","I;himself;oneself;your_plur;her_acc;whatever_pron",0.0571409155769761,0.00236004231985534,0.0443911217756449,"rotation"
"anybody;us_det;everybody;everyone;someone;we_det","yesterday;your_plur;whom_rel;oneself;whosoever_s;their_sing",0.045232261691313,0.00178300506128184,0.105578884223155,"rotation"
"nobody;everybody;anyone;us_det;anybody;someone","yourselves;ours;I;themselves;her_acc;who_rel",0.0105583818340437,0.00134893251364198,0.739652069586083,"rotation"
"we_det;nobody;anyone;everyone;no_one;somebody","it_plain;whatever_pron;my;tonight;them_sing;one_pron",0.0394073871599395,0.00789517233622558,0.246150769846031,"rotation"
"we_det;no_one;nobody;somebody;someone;anyone","themselves;his;him;them_sing;what_pron;their_plur",0.0288426505822286,-0.00948050145665587,0.147770445910818,"rotation"
"everybody;us_det;no_one;everyone;somebody;anyone","tomorrow;which_rel_pron;myself;herself;itself;yourselves",-0.0225739324975713,0.00219732733922496,0.355928814237153,"rotation"
"us_det;anybody;somebody;anyone;everyone;everybody","they_plur;today;whose_rel;yourselves;it_plain;yesterday",-0.00103357093689255,0.00915727720736134,0.708458308338332,"rotation"
