"metric","each_other","one_another"
"jaccard",0.00262122494112238,0.0129546315324407
"dice",0.0103322808775618,0.0213948300911859
"hamming",0.0142928039702233,0.0181908414166479
"wj_idf",-0.00373408512918061,0.0145896751579112
